ID,Age,Income,Experience_Years,Education_Level,City,Work_Hours_Per_Week,Remote_Work,Productivity_Score
499,62,1173.67,35,High School,,35,Yes,367.48
500,18,,25,High School,,49,Yes,320.87
501,33,683.07,37,High School,Santiago,23,Yes,200.3
502,56,1247.79,0,High School,Valparaíso,59,yes,360.3
503,22,843.48,19,PhD,Concepción,35,Yes,196.65
504,39,1072.36,27,Bachelor,Concepción,50,yes,360.03
505,46,670.89,15,Bachelor,Concepción,44,yes,176.0
506,20,811.06,16,Master,Valparaiso,31,Yes,276.83
507,29,490.66,39,,santiago,45,No,186.26
508,43,957.31,27,Bachelors,Valparaíso,56,no,359.97
509,33,847.73,11,PhD,Valparaíso,52,yes,268.9
510,68,576.36,26,bachelor,Concepción,47,Yes,165.83
511,54,579.72,29,PhD,Valparaíso,28,yes,196.42
512,39,1203.99,33,Bachelor,,31,No,348.72
513,46,1292.92,36,,santiago,24,No,410.65
514,31,746.72,5,Master,,47,Yes,211.09
515,45,816.94,6,Master,,54,yes,235.17
516,22,900.03,31,phd,Santiago,24,no,253.76
517,64,837.01,31,Bachelors,santiago,53,no,265.02
518,66,,24,Master,santiago,53,yes,140.56
519,47,906.97,32,High School,,32,yes,232.13
520,63,278.03,6,Bachelor,Concepcion,58,yes,54.15
521,69,616.83,11,Bachelors,Concepción,33,Yes,188.99
522,22,926.36,15,bachelor,Concepción,30,No,208.99
523,29,950.0,15,High School,Valparaíso,57,no,333.31
524,33,597.48,35,High School,Concepción,23,Yes,170.81
525,43,685.39,12,Master,Valparaiso,52,yes,173.07
526,43,651.54,6,Bachelors,Concepcion,26,yes,187.04
527,65,774.29,35,Bachelor,santiago,27,No,248.51
528,38,793.3,8,,Concepción,56,yes,208.1
529,56,967.12,31,PhD,Concepcion,29,Yes,329.25
530,53,670.78,10,PhD,Concepción,34,Yes,211.43
531,50,893.35,7,Bachelor,Santiago,57,No,234.99
532,47,926.75,32,Bachelor,,34,Yes,271.55
533,54,849.57,22,PhD,,24,no,215.57
534,40,,24,,santiago,48,Yes,185.33
535,27,845.16,7,Bachelors,,38,Yes,261.08
536,22,987.94,21,PhD,Valparaíso,29,Yes,276.28
537,53,1009.8,3,Bachelor,Concepción,31,no,352.37
538,51,1253.84,39,Master,Concepción,23,yes,393.18
539,69,552.49,2,bachelor,Valparaiso,50,Yes,116.16
540,48,690.0,28,phd,Santiago,37,No,179.3
541,27,396.63,28,High School,,35,no,157.58
542,36,1032.75,33,phd,Concepcion,59,No,312.23
543,49,716.37,33,,Valparaíso,55,Yes,250.17
544,18,851.55,27,Master,Concepcion,44,No,249.17
545,22,648.92,12,High School,,42,Yes,175.47
546,62,718.32,14,Bachelor,Valparaiso,31,no,249.88
547,21,1105.8,22,PhD,Concepción,53,No,306.38
548,33,973.56,25,Bachelors,Concepcion,55,No,308.24
549,41,772.12,3,phd,santiago,56,Yes,215.58
550,33,991.95,25,High School,Valparaíso,22,Yes,332.05
551,19,,39,phd,Concepcion,28,yes,367.7
552,66,,8,,Valparaíso,37,Yes,195.48
553,45,432.73,4,PhD,Concepción,54,Yes,104.6
554,49,575.21,31,phd,,53,yes,197.44
555,44,464.87,19,Bachelors,Valparaiso,33,Yes,109.9
556,37,1091.11,10,Master,Valparaiso,23,Yes,376.23
557,41,1134.53,14,Bachelors,santiago,48,yes,381.14
558,29,1196.59,31,PhD,Valparaíso,34,no,337.7
559,67,295.11,27,phd,Concepción,47,no,45.14
560,52,1067.85,21,bachelor,Concepcion,35,Yes,289.04
561,50,1353.05,16,phd,santiago,31,Yes,373.35
562,50,1078.0,25,PhD,Santiago,24,yes,355.15
563,68,262.19,6,phd,Valparaíso,53,yes,117.53
564,60,1242.07,25,High School,Valparaiso,20,no,404.82
565,54,810.42,24,phd,,58,No,236.44
566,29,741.9,9,Bachelor,Valparaiso,51,Yes,227.14
567,20,912.77,18,phd,Valparaíso,45,No,247.74
568,18,537.75,10,phd,Valparaiso,36,No,192.04
569,50,800.7,12,Bachelors,santiago,46,yes,249.97
570,57,1205.11,7,,Valparaíso,43,Yes,379.63
571,27,955.6,39,Bachelors,,54,Yes,273.55
572,60,814.6,3,Bachelors,santiago,58,yes,229.22
573,61,822.4,30,Master,Concepcion,45,No,274.47
574,46,504.65,27,Bachelor,Concepción,57,yes,196.8
575,30,762.5,10,Bachelors,santiago,42,no,207.11
576,29,391.43,0,High School,Valparaíso,41,Yes,132.64
577,48,1055.61,37,PhD,Concepción,23,no,309.22
578,63,253.57,23,High School,santiago,28,yes,145.49
579,19,1013.73,30,PhD,Santiago,23,Yes,302.07
580,68,1044.85,25,phd,Santiago,26,no,340.06
581,67,1129.69,4,Master,Concepcion,42,no,337.48
582,52,821.71,19,Bachelor,Valparaiso,21,No,329.97
583,40,1029.16,10,High School,Concepción,43,Yes,312.05
584,34,760.06,32,Bachelor,Valparaíso,59,no,216.77
585,43,503.33,37,High School,Valparaíso,50,no,178.68
586,25,1182.68,26,phd,,50,No,376.32
587,46,775.78,33,PhD,Santiago,59,no,232.71
588,43,447.62,14,bachelor,Santiago,53,no,97.84
589,27,683.3,31,Master,santiago,43,no,196.05
590,43,693.17,20,High School,Concepcion,45,No,235.4
591,51,,4,High School,Concepción,35,no,217.2
592,68,1386.76,5,phd,Concepcion,32,no,404.69
593,58,930.6,37,Master,Concepcion,34,Yes,320.73
594,24,851.71,21,PhD,,46,Yes,254.01
595,21,1413.94,17,PhD,Concepcion,23,No,493.29
596,67,1044.72,13,High School,Valparaiso,35,yes,260.58
597,62,863.56,9,bachelor,santiago,49,Yes,224.93
598,28,,12,bachelor,Valparaiso,49,No,130.81
599,46,879.05,30,Bachelor,santiago,55,no,327.53
600,53,783.4,29,Master,Concepcion,22,no,216.77
601,42,822.86,2,Master,Valparaiso,41,No,180.05
602,38,1128.6,29,,Valparaiso,41,no,326.52
603,53,,5,Bachelor,Valparaiso,31,no,153.99
604,27,928.39,28,,santiago,40,yes,266.37
605,54,1037.23,7,,Valparaíso,23,no,311.31
606,26,634.47,32,Bachelor,Concepcion,50,Yes,220.49
607,41,594.34,16,Bachelor,,50,no,171.06
608,52,762.41,10,High School,Concepción,42,No,226.08
609,66,684.59,12,PhD,Valparaíso,39,yes,186.13
610,52,1088.08,10,Bachelor,Concepción,34,no,279.27
611,65,549.56,30,bachelor,Concepcion,42,No,116.07
612,53,817.12,27,bachelor,Concepcion,47,Yes,238.3
613,35,1436.51,5,Bachelors,,35,no,428.99
614,66,903.26,15,PhD,Valparaiso,56,yes,254.12
615,56,944.82,3,High School,santiago,40,no,222.67
616,49,,34,phd,Valparaíso,34,No,343.29
617,41,684.26,25,,,36,yes,259.46
618,40,529.65,11,bachelor,Valparaiso,56,no,149.76
619,49,844.13,10,High School,Concepcion,32,Yes,234.45
620,54,,36,Bachelors,Valparaiso,38,yes,268.49
621,29,395.45,24,PhD,Concepcion,49,Yes,87.7
622,66,893.77,17,High School,Concepcion,37,No,234.16
623,30,1067.46,18,PhD,Valparaiso,33,no,336.18
624,40,571.76,22,Bachelor,Santiago,55,Yes,201.24
625,42,908.89,37,Master,Valparaíso,55,No,275.75
626,52,1023.07,17,,Concepción,39,no,248.41
627,58,946.67,25,PhD,,38,No,299.5
628,47,,5,High School,Concepcion,26,Yes,350.4
629,34,738.8,3,bachelor,Santiago,23,No,211.22
630,66,518.12,28,phd,Concepción,53,yes,153.5
631,37,688.21,33,bachelor,santiago,21,no,192.58
632,65,653.49,16,High School,Santiago,24,No,213.69
633,42,779.94,15,,Concepción,29,Yes,215.55
634,39,1073.32,1,phd,Santiago,51,no,342.94
635,30,472.04,33,High School,Concepcion,32,yes,131.98
636,36,836.06,7,PhD,Valparaíso,58,no,252.97
637,66,534.15,12,bachelor,Santiago,24,yes,160.05
638,53,614.99,7,PhD,santiago,29,no,228.85
639,29,939.69,29,phd,Valparaiso,29,No,302.89
640,58,502.51,31,phd,Concepción,57,No,196.46
641,36,983.56,35,bachelor,,46,Yes,306.63
642,29,461.96,29,PhD,Santiago,40,yes,139.97
643,26,966.75,0,Bachelors,santiago,27,Yes,283.48
644,24,412.62,38,PhD,Valparaíso,20,No,115.64
645,45,645.55,16,phd,Santiago,47,yes,208.22
646,31,1274.12,19,PhD,Santiago,58,Yes,359.43
647,48,1227.14,23,High School,Valparaíso,33,Yes,376.42
648,69,,21,Bachelor,santiago,40,Yes,237.22
649,36,897.49,28,Bachelors,Concepción,49,Yes,320.95
650,64,1101.02,21,Master,Concepción,40,Yes,337.69
651,33,970.32,8,High School,,28,yes,315.33
652,22,731.63,36,Bachelor,Valparaíso,36,Yes,252.55
653,52,612.84,9,Master,Santiago,24,yes,172.08
654,29,1017.03,35,bachelor,Valparaiso,50,Yes,375.84
655,42,1082.68,36,Master,Concepción,59,No,313.72
656,69,1228.93,27,High School,Concepcion,57,No,373.51
657,38,378.19,27,PhD,Valparaiso,38,Yes,162.98
658,53,486.72,20,High School,Santiago,55,no,187.9
659,40,1090.48,23,Master,santiago,52,No,328.67
660,33,,39,phd,,32,yes,166.45
661,56,1109.64,1,Bachelor,Concepcion,33,Yes,320.07
662,62,746.27,7,Bachelor,Valparaiso,52,yes,202.32
663,59,669.77,26,,Concepción,48,no,167.95
664,56,,21,Bachelor,Valparaíso,55,Yes,276.62
665,31,463.66,36,phd,santiago,29,No,176.17
666,48,1006.0,26,High School,Valparaiso,50,yes,287.76
667,22,1222.41,28,Bachelor,Valparaíso,25,No,383.77
668,52,1017.64,2,Master,Santiago,20,No,381.82
669,40,738.37,12,Bachelors,Valparaíso,26,Yes,256.71
670,46,415.49,9,Bachelors,Valparaiso,46,yes,92.9
671,60,425.1,35,,Valparaiso,40,no,167.08
672,28,,8,Bachelor,Santiago,47,No,107.97
673,35,796.93,26,High School,Valparaíso,35,Yes,158.22
674,64,828.35,33,Master,Valparaíso,42,Yes,255.99
675,29,1017.11,0,Bachelor,Santiago,39,no,344.23
676,26,350.99,31,PhD,Valparaíso,57,Yes,151.32
677,27,1127.8,24,phd,,44,No,352.86
678,61,973.6,28,Bachelor,Santiago,47,Yes,280.43
679,34,718.29,6,Bachelor,santiago,24,yes,228.28
680,55,502.56,2,,Valparaiso,40,yes,135.69
681,24,,19,,santiago,100,No,320.38
682,63,,19,Master,Concepción,25,yes,253.85
683,30,795.0,29,,Concepción,48,no,227.62
684,57,895.9,34,Bachelors,Concepcion,38,Yes,311.99
685,59,571.7,34,,Concepcion,52,No,160.34
686,26,729.45,38,phd,Concepcion,20,no,295.59
687,67,1016.33,26,Bachelors,Santiago,22,Yes,264.28
688,44,991.02,25,Bachelors,Valparaíso,40,no,273.1
689,19,993.28,13,High School,Concepción,54,No,289.02
690,22,511.21,16,Bachelors,,59,No,90.04
691,46,740.85,17,High School,santiago,22,no,149.23
692,54,700.9,28,Bachelor,santiago,44,Yes,156.21
693,55,,19,Bachelor,santiago,57,yes,261.22
694,36,883.91,26,,Concepcion,39,yes,262.37
695,25,838.86,17,PhD,santiago,53,no,259.55
696,65,1416.43,3,PhD,Valparaíso,40,No,412.52
697,62,727.3,0,PhD,Concepcion,42,Yes,218.78
698,18,698.04,0,High School,santiago,25,Yes,190.91
699,39,510.81,25,phd,,32,No,180.79
700,69,415.54,19,phd,,42,yes,143.59
701,34,,22,bachelor,Valparaiso,28,Yes,144.08
702,24,620.33,9,phd,Valparaiso,36,no,199.39
703,42,1127.52,10,PhD,Concepcion,21,yes,333.34
704,62,809.79,4,PhD,santiago,38,no,191.67
705,21,848.33,0,Bachelors,Concepción,38,yes,274.03
706,53,775.93,16,phd,Concepción,26,No,208.37
707,23,891.33,21,Bachelor,Concepción,39,no,296.91
708,48,1150.52,33,Bachelor,Concepcion,28,no,365.78
709,36,301.52,28,Bachelors,Valparaíso,36,No,94.72
710,61,,3,Bachelors,Santiago,46,no,267.36
711,56,171.24,4,Bachelors,Santiago,21,yes,95.36
712,44,807.05,10,Bachelor,Valparaiso,55,Yes,225.22
713,27,1347.98,20,PhD,Valparaiso,38,Yes,425.83
714,43,970.16,34,Bachelors,Concepción,36,No,297.43
715,36,,11,bachelor,Concepción,24,yes,260.53
716,56,1300.49,25,High School,Valparaiso,58,no,396.83
717,20,624.23,18,Bachelors,santiago,37,no,189.67
718,62,908.49,6,High School,Valparaíso,26,Yes,262.34
719,30,944.53,6,Master,,36,no,277.5
720,67,669.4,25,Bachelors,Valparaíso,58,Yes,214.53
721,45,691.47,39,Bachelor,Valparaíso,55,No,230.88
722,37,664.06,4,phd,Valparaiso,59,no,190.72
723,45,821.83,20,Bachelors,Santiago,23,yes,270.58
724,25,936.67,13,phd,Valparaiso,57,no,263.38
725,58,830.81,3,Master,Valparaíso,44,Yes,308.69
726,56,977.37,22,bachelor,Valparaiso,24,No,343.98
727,18,307.71,19,phd,Valparaíso,49,Yes,114.89
728,20,745.44,14,High School,,31,no,166.18
729,30,,28,PhD,Concepción,23,Yes,190.83
730,45,4377.15,7,Bachelors,Santiago,100,Yes,247.43
731,66,871.73,18,Master,,48,No,231.56
732,42,771.09,38,Master,santiago,28,yes,233.86
733,50,927.57,27,phd,Valparaiso,23,no,261.14
734,55,1049.45,26,bachelor,santiago,43,No,334.44
735,23,784.87,3,Bachelor,Valparaiso,33,yes,278.84
736,61,537.08,14,Bachelors,Concepción,24,Yes,188.1
737,62,404.69,34,Master,Concepcion,37,yes,213.88
738,49,809.03,36,bachelor,Concepción,38,Yes,206.5
739,62,860.47,0,PhD,Valparaíso,31,Yes,236.76
740,64,557.62,2,Master,Concepción,37,No,132.6
741,38,981.44,23,bachelor,Concepción,36,Yes,335.61
742,33,685.26,26,Bachelor,Valparaíso,49,No,202.16
743,38,385.89,39,,Valparaiso,43,yes,132.35
744,28,1114.11,35,Master,Valparaíso,30,yes,364.74
745,54,,33,High School,Concepcion,54,Yes,287.86
746,53,296.1,28,Master,Concepción,42,No,75.79
747,52,659.35,23,phd,Valparaíso,36,Yes,232.02
748,36,,23,Bachelors,Concepción,20,No,185.94
749,37,1209.87,3,,Concepcion,34,No,306.25
750,35,,2,Master,santiago,51,No,196.29
751,64,426.03,33,Bachelors,Concepcion,28,yes,130.12
752,58,1020.53,22,phd,Santiago,34,No,315.36
753,66,492.31,22,Bachelors,Santiago,47,yes,147.17
754,31,734.91,4,Master,Santiago,43,No,195.45
755,32,607.56,30,Bachelor,Concepción,54,yes,214.65
756,48,659.89,5,bachelor,Valparaiso,41,no,188.4
757,18,1034.31,36,bachelor,Valparaiso,46,yes,325.38
758,20,1180.33,9,Bachelor,Valparaiso,38,yes,334.17
759,33,481.41,39,High School,,31,Yes,202.99
760,40,,6,,Concepcion,39,No,270.41
761,28,616.81,38,bachelor,Valparaiso,20,no,202.28
762,29,624.58,37,Master,santiago,40,Yes,228.92
763,27,922.66,20,phd,Santiago,20,No,291.2
764,49,543.02,19,Master,Concepcion,29,no,174.26
765,33,917.65,2,Bachelors,Santiago,51,no,206.89
766,25,982.53,21,Bachelor,Valparaiso,58,no,314.08
767,55,691.87,3,High School,Concepcion,41,No,202.53
768,29,1131.77,27,Master,Valparaíso,37,no,361.88
769,41,481.79,11,High School,santiago,51,no,145.33
770,45,1136.35,37,High School,Valparaiso,46,Yes,333.43
771,25,314.0,35,phd,,47,yes,129.13
772,45,1474.93,4,PhD,santiago,37,No,443.02
773,53,698.45,12,Bachelor,santiago,58,yes,165.25
774,43,509.42,22,High School,Valparaíso,48,Yes,193.48
775,25,741.83,29,,Valparaiso,37,yes,186.73
776,67,538.38,36,Bachelors,Concepción,27,no,201.14
777,45,896.74,24,bachelor,Valparaiso,50,no,315.63
778,45,1141.91,26,phd,Santiago,53,No,311.78
779,54,551.64,13,,Concepcion,26,No,163.11
780,58,944.85,35,bachelor,Concepcion,55,No,283.48
781,53,,38,Bachelor,,37,Yes,131.52
782,44,1058.24,15,bachelor,Concepcion,57,No,368.48
783,34,904.06,21,Master,,28,Yes,243.28
784,26,,20,bachelor,Concepcion,28,no,315.92
785,50,769.41,20,Bachelors,Concepcion,27,yes,280.52
786,37,691.21,7,Bachelors,Santiago,54,no,190.37
787,30,1004.03,15,PhD,Valparaíso,37,no,273.24
788,45,,30,Bachelors,Concepcion,24,no,159.99
789,65,364.29,9,bachelor,Concepción,33,No,131.36
790,46,798.76,31,,Concepcion,47,No,233.94
791,30,702.6,33,Bachelor,Valparaíso,49,No,234.11
792,63,938.46,8,High School,Santiago,23,yes,239.64
793,52,1072.89,16,Bachelors,Valparaíso,58,No,278.64
794,23,933.25,10,Master,Santiago,39,Yes,263.97
795,35,1052.98,31,Bachelor,santiago,44,no,340.29
796,68,880.26,9,PhD,Santiago,47,yes,282.02
797,22,923.65,21,Master,santiago,31,yes,245.93
798,64,770.84,16,bachelor,,21,yes,256.78
799,42,916.26,3,High School,Santiago,33,yes,274.77
800,19,841.66,24,bachelor,Concepción,41,yes,229.92
801,27,881.29,20,High School,Valparaiso,50,Yes,224.36
802,47,758.32,36,High School,Santiago,42,no,243.99
803,67,1002.23,37,bachelor,Concepcion,39,yes,350.06
804,62,622.39,0,Master,Concepción,57,no,176.38
805,22,795.41,24,Master,Concepción,23,No,217.98
806,50,1127.95,35,High School,Concepcion,34,yes,293.04
807,18,562.82,16,Master,Valparaiso,43,yes,214.13
808,35,259.54,23,High School,Concepción,44,no,111.82
809,49,891.61,1,High School,santiago,20,yes,273.05
810,64,735.76,39,Bachelor,Valparaiso,26,yes,279.37
811,66,1052.72,14,phd,Concepcion,50,yes,319.53
812,28,767.37,31,Bachelor,Valparaiso,31,Yes,223.58
813,38,648.92,38,bachelor,Santiago,24,Yes,225.53
814,43,781.05,5,phd,Valparaiso,57,yes,200.52
815,42,1073.27,0,Bachelors,santiago,31,Yes,285.91
816,39,943.84,22,bachelor,Santiago,58,No,305.7
817,44,191.52,38,,Valparaíso,37,yes,94.73
818,66,846.44,16,Bachelor,Concepcion,21,No,219.52
819,30,858.94,33,Master,Concepcion,29,no,231.28
820,50,,28,Bachelor,Valparaiso,34,No,232.48
821,51,647.28,8,Master,Concepción,49,no,167.04
822,58,1098.63,12,phd,Santiago,36,yes,342.68
823,52,1111.01,5,PhD,Valparaíso,23,no,332.64
824,18,249.21,5,phd,Santiago,26,no,107.01
825,38,600.51,19,PhD,Concepcion,50,No,189.17
826,65,763.82,2,,Santiago,58,No,199.21
827,23,1037.13,16,Master,Valparaíso,53,No,251.81
828,45,808.71,11,phd,Concepción,25,yes,248.5
829,34,629.1,0,PhD,Valparaiso,57,yes,126.02
830,22,977.38,16,High School,santiago,53,No,270.91
831,48,747.17,2,bachelor,,34,yes,196.7
832,22,770.65,25,bachelor,santiago,33,yes,221.84
833,55,793.21,14,phd,Concepcion,25,no,200.48
834,20,943.58,35,Master,Valparaiso,56,no,267.62
835,40,722.86,31,High School,Valparaiso,51,No,256.54
836,54,971.74,31,phd,Santiago,22,yes,336.92
837,54,781.73,3,Bachelor,Concepción,22,no,277.59
838,27,533.25,17,PhD,Valparaiso,41,Yes,160.58
839,27,790.81,18,Bachelor,Santiago,41,yes,246.18
840,36,546.2,34,bachelor,Santiago,29,Yes,209.88
841,34,810.25,39,PhD,santiago,22,No,214.06
842,38,1007.37,13,phd,Valparaiso,31,yes,326.68
843,31,531.59,32,Bachelor,Santiago,48,No,204.95
844,26,891.07,13,Bachelors,santiago,36,No,239.95
845,63,592.74,33,Master,,26,No,230.6
846,18,850.43,3,High School,santiago,32,No,311.96
847,68,1015.05,23,High School,santiago,21,No,335.15
848,62,267.62,28,Master,Santiago,23,yes,107.52
849,30,521.38,18,Bachelors,Concepcion,29,Yes,126.02
850,21,707.76,5,bachelor,Concepcion,58,yes,235.3
851,18,,32,PhD,Concepción,100,yes,240.26
852,66,758.4,39,,Concepcion,36,yes,250.91
853,57,788.53,18,Bachelors,santiago,25,no,254.69
854,49,1310.75,0,phd,Concepción,38,no,286.74
855,51,496.89,4,High School,Santiago,24,yes,158.44
856,45,1083.87,26,Bachelors,Valparaiso,51,Yes,406.61
857,48,712.51,15,bachelor,santiago,29,yes,152.7
858,25,937.37,5,bachelor,santiago,28,No,276.49
859,56,1332.24,39,Bachelor,Concepción,46,no,351.56
860,43,972.17,12,Master,Santiago,32,no,264.43
861,51,893.12,34,Bachelor,Valparaíso,38,yes,219.44
862,20,1199.78,18,High School,santiago,40,yes,365.72
863,67,1081.2,11,Bachelors,,43,Yes,345.07
864,29,600.15,15,PhD,Valparaíso,57,Yes,188.44
865,18,873.63,9,PhD,Concepcion,23,No,234.08
866,61,370.63,24,bachelor,Santiago,43,yes,96.31
867,22,664.96,19,PhD,Valparaíso,54,yes,206.36
868,47,,30,PhD,Santiago,22,yes,247.19
869,47,649.47,3,High School,Concepcion,23,no,151.88
870,34,868.34,22,PhD,Santiago,56,No,253.13
871,65,796.65,1,Bachelors,,59,Yes,199.35
872,64,,21,PhD,Valparaíso,54,no,292.28
873,40,,36,phd,Santiago,50,no,255.15
874,32,564.96,7,PhD,Valparaiso,44,no,242.12
875,54,1169.53,6,PhD,Santiago,59,no,352.2
876,38,676.08,13,Bachelor,Valparaíso,32,No,222.3
877,31,965.0,2,,Concepcion,23,yes,267.92
878,19,1158.81,15,bachelor,Concepcion,33,Yes,332.42
879,28,840.67,18,Bachelor,Valparaíso,32,Yes,293.32
880,68,585.92,17,Master,santiago,46,no,166.79
881,56,755.35,15,Bachelors,santiago,25,no,231.29
882,55,1054.39,7,phd,,36,No,349.31
883,51,851.56,32,Bachelors,Concepcion,55,no,252.41
884,55,498.71,11,Master,Valparaíso,59,Yes,188.33
885,67,949.16,10,Master,santiago,54,Yes,296.14
886,51,992.38,4,Master,Concepcion,36,yes,306.18
887,35,711.17,26,High School,santiago,21,yes,202.71
888,47,952.56,11,bachelor,Concepcion,32,Yes,300.14
889,32,861.25,16,PhD,Santiago,21,Yes,249.3
890,44,750.64,5,Bachelors,,47,No,232.37
891,68,476.62,32,High School,Concepción,45,No,146.93
892,51,,4,PhD,Santiago,41,Yes,343.65
893,69,989.8,27,PhD,Concepción,22,no,305.09
894,55,945.97,13,phd,,54,yes,340.63
895,50,1186.13,4,Master,Valparaiso,31,Yes,343.37
896,41,,32,bachelor,Valparaiso,43,no,302.25
897,32,971.64,18,phd,Concepcion,24,Yes,306.08
898,47,246.69,21,Bachelor,Concepcion,39,yes,109.04
899,59,1099.22,4,High School,santiago,58,yes,352.27
900,68,820.77,1,High School,Concepcion,58,No,240.13
901,34,878.12,29,bachelor,Valparaíso,32,No,281.71
902,22,879.83,38,PhD,Concepcion,31,No,286.97
903,46,993.46,3,,Valparaíso,32,No,260.8
904,21,1080.54,32,bachelor,Concepcion,29,yes,365.08
905,27,958.56,12,High School,,52,no,245.43
906,34,918.82,19,High School,Valparaíso,59,no,241.07
907,27,857.88,6,Master,Santiago,35,no,255.01
908,34,-37.9,14,Bachelor,Valparaíso,54,Yes,-24.77
909,37,728.1,22,Master,santiago,22,No,248.91
910,41,,13,Bachelor,Concepción,24,No,184.5
911,22,,22,High School,Valparaíso,45,yes,336.95
912,51,,18,phd,Concepcion,30,yes,255.66
913,23,685.47,28,PhD,Concepcion,26,Yes,215.24
914,19,710.57,19,High School,Concepción,29,Yes,215.3
915,30,,28,Bachelor,santiago,53,no,220.52
916,60,697.04,23,Bachelor,Valparaiso,22,yes,203.31
917,60,438.86,17,Bachelor,Concepcion,27,No,150.44
918,65,384.68,9,High School,Santiago,50,no,99.51
919,28,807.26,7,bachelor,santiago,30,No,252.55
920,68,1068.83,25,phd,Valparaíso,26,no,351.83
921,64,665.58,28,bachelor,Valparaíso,21,No,193.44
922,40,875.86,9,PhD,Santiago,25,Yes,239.09
923,33,983.57,16,High School,Concepcion,51,no,307.16
924,48,551.66,1,Bachelor,santiago,39,No,118.57
925,28,795.01,5,phd,Santiago,53,No,263.75
926,33,633.37,4,phd,Concepcion,35,yes,185.34
927,25,1201.53,27,Bachelors,,44,no,361.72
928,21,,4,PhD,Valparaíso,31,No,369.36
929,57,551.91,17,phd,santiago,26,yes,183.39
930,21,4482.35,25,,Concepción,100,No,270.04
931,42,1066.9,19,Bachelor,Valparaiso,36,no,348.73
932,20,1012.08,26,Bachelor,santiago,30,Yes,290.45
933,49,820.39,11,phd,Valparaiso,25,no,267.99
934,20,1126.64,6,bachelor,santiago,42,no,300.23
935,44,,2,,Valparaiso,46,No,179.28
936,46,724.23,9,Bachelor,Concepción,25,No,206.93
937,49,580.59,33,,Valparaíso,57,no,139.94
938,67,995.62,24,Bachelor,,21,yes,314.19
939,68,,34,,Valparaiso,41,yes,204.07
940,36,757.19,15,PhD,,39,yes,180.58
941,38,954.42,1,phd,Valparaiso,44,No,214.62
942,22,974.56,23,Bachelors,Valparaíso,34,No,292.5
943,35,573.22,9,phd,Valparaiso,48,no,215.41
944,45,1064.16,37,phd,Concepción,27,Yes,341.98
945,59,913.92,21,High School,Concepción,56,No,253.43
946,39,529.57,25,,Santiago,52,no,193.43
947,38,468.07,38,,Valparaíso,41,no,178.44
948,23,796.05,26,phd,Santiago,24,Yes,285.16
949,18,1012.52,28,PhD,Valparaíso,58,yes,326.67
950,22,1018.93,37,Bachelors,Valparaiso,37,no,343.36
951,58,889.04,19,,Concepción,57,no,286.75
952,29,,26,Bachelor,Santiago,56,no,231.13
953,43,927.93,19,High School,Valparaiso,49,yes,228.96
954,63,,18,,Concepción,50,yes,159.22
955,51,1221.75,19,Bachelors,Valparaíso,29,Yes,403.37
956,66,1218.48,34,Master,Concepción,34,No,364.31
957,31,,1,phd,Valparaiso,37,yes,260.9
958,43,849.33,29,PhD,Santiago,42,No,225.93
959,62,697.14,33,,Santiago,52,No,198.71
960,44,,21,bachelor,Concepción,35,yes,282.88
961,26,627.17,2,Bachelor,Valparaiso,57,no,192.53
962,43,,5,High School,santiago,54,Yes,51.17
963,64,121.47,14,Bachelor,Valparaíso,53,No,16.98
964,39,600.13,26,bachelor,Valparaíso,47,no,208.9
965,64,839.09,9,bachelor,Valparaiso,21,yes,261.78
966,47,882.99,8,High School,santiago,49,No,272.56
967,60,678.31,32,PhD,Santiago,32,No,258.94
968,65,4177.3,31,bachelor,Concepcion,100,No,243.99
969,34,731.44,5,Master,Concepcion,24,no,215.66
970,43,550.17,35,phd,Valparaiso,47,no,189.69
971,53,786.56,1,phd,santiago,58,no,198.72
972,18,1003.24,28,Bachelors,,39,No,314.04
973,25,,3,bachelor,,43,No,162.01
974,66,561.6,0,bachelor,Santiago,46,Yes,242.6
975,52,532.69,18,Master,Concepción,49,Yes,162.0
976,69,315.87,25,Bachelor,santiago,46,no,132.77
977,32,679.95,24,Bachelor,Concepción,45,no,231.88
978,64,978.52,9,,Concepcion,26,yes,258.16
979,39,843.48,14,,Concepción,57,no,202.18
980,31,757.69,21,PhD,Santiago,24,Yes,240.42
981,43,832.27,20,High School,Santiago,42,Yes,289.0
982,45,677.75,21,Master,Concepción,47,Yes,213.06
983,40,313.03,35,High School,Valparaiso,53,No,103.17
984,31,995.93,33,,santiago,34,No,299.96
985,41,1067.78,29,Bachelors,Valparaiso,51,no,284.92
986,19,617.96,24,,Concepción,45,yes,159.57
987,62,762.29,27,Bachelors,santiago,50,yes,183.52
988,43,740.75,0,High School,,38,yes,181.53
989,31,887.82,3,Master,Valparaiso,28,No,246.47
990,68,1222.47,6,Bachelors,Valparaiso,48,Yes,383.42
991,24,1089.95,8,Bachelor,Concepción,58,Yes,306.03
992,20,,35,,Concepcion,23,No,232.3
993,64,935.62,18,Bachelors,,22,yes,289.34
994,40,1113.59,0,Master,Valparaiso,48,yes,339.45
995,63,902.09,9,Master,,30,no,238.08
996,60,798.83,35,Bachelors,Concepcion,52,no,278.52
997,64,4557.5,8,bachelor,Concepción,100,yes,223.83
998,62,624.18,31,Master,Concepción,30,No,183.32
999,35,660.68,31,PhD,Valparaiso,46,yes,203.88
